,pos,nega,neu
1483,15,7,5
1484,16,7,3
1485,28,20,13
1486,14,9,5
1487,19,11,7
1488,24,10,5
1489,42,18,15
1490,18,15,13
1491,11,6,5
1492,11,8,5
1493,28,21,12
1494,4,1,1
1495,13,7,6
1496,22,10,9
1497,23,18,17
1498,13,8,5
1499,13,7,4
1500,15,9,4
1501,8,7,7
1502,19,6,5
1503,32,21,14
1504,26,13,6
1505,11,2,2
1506,40,29,17
1507,12,3,2
1508,10,5,2
1509,10,5,5
1510,16,6,6
1511,47,25,24
1512,40,21,10
1513,14,7,8
1514,25,13,11
1515,17,12,9
1516,18,8,6
1517,26,11,5
1518,13,10,9
1519,24,21,15
1520,18,9,8
1521,45,37,27
1522,11,6,3
1523,7,3,3
1524,22,14,11
1525,35,18,15
1526,13,11,9
1527,12,4,5
1528,18,12,7
1529,39,22,17
1530,20,16,7
1531,8,4,4
1532,8,6,5
1533,11,10,6
1534,10,6,6
1535,32,24,13
1536,14,11,7
1537,21,16,8
1538,24,15,12
1539,17,6,4
1540,7,1,1
1541,10,7,7
1542,9,6,3
1543,24,8,5
1544,12,6,3
1545,21,17,13
1546,6,4,5
1547,18,11,5
1548,20,10,9
1549,30,23,20
1550,13,7,7
1551,12,8,8
1552,15,11,11
1553,10,8,6
1554,6,2,1
1555,14,10,5
1556,5,2,3
1557,14,9,8
1558,7,1,1
1559,17,7,6
1560,11,11,6
1561,2,1,0
1562,8,2,2
1563,27,19,15
1564,17,11,5
1565,22,17,14
1566,28,16,15
1567,13,10,5
1568,13,7,5
1569,7,4,4
1570,12,8,4
1571,29,16,14
1572,11,5,3
1573,24,19,12
1574,26,16,11
1575,8,7,4
1576,21,23,8
1577,15,14,11
1578,16,8,6
1579,31,23,17
1580,12,7,3
1581,36,25,20
1582,12,8,5
1583,43,23,24
1584,18,11,8
1585,35,20,19
1586,21,14,10
1587,25,17,12
1588,15,9,5
1589,12,7,7
1590,12,5,6
1591,6,5,2
1592,4,3,3
1593,12,5,4
1594,17,12,9
1595,22,16,15
1596,17,10,9
1597,12,6,2
1598,15,11,5
1599,22,16,14
1600,25,17,15
1601,4,3,1
1602,21,16,11
1603,12,8,8
1604,12,13,7
1605,28,16,11
1606,20,23,13
1607,9,8,4
1608,15,11,10
1609,14,8,7
1610,13,10,6
1611,11,6,4
1612,10,6,5
1613,21,21,7
1614,12,8,3
1615,23,15,10
1616,18,10,12
1617,12,9,4
1618,6,6,4
1619,16,12,11
1620,64,46,24
1621,26,15,6
1622,13,12,9
1623,9,7,5
1624,24,13,6
1625,7,6,3
1626,13,9,7
1627,5,3,2
1628,29,23,18
1629,17,12,8
1630,10,7,5
1631,13,3,4
1632,10,7,4
1633,24,27,8
1634,15,4,3
1635,10,4,4
1636,9,4,2
1637,15,11,2
1638,8,3,1
1639,34,25,18
1640,18,12,8
1641,21,12,7
1642,16,7,5
1643,6,5,3
1644,16,11,11
1645,4,3,2
1646,16,14,10
1647,58,63,24
1648,5,3,2
1649,25,14,11
1650,13,6,4
1651,11,8,5
1652,9,5,4
1653,7,8,3
1654,16,10,7
1655,2,1,1
1656,59,23,32
1657,18,11,9
